S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
10887,01/01/1970,Madhya Pradesh,792341,138,781686,10517
10888,21/03/2020,Madhya Pradesh,4,4,0,0
10889,22/03/2020,Madhya Pradesh,4,4,0,0
10890,23/03/2020,Madhya Pradesh,6,6,0,0
10891,24/03/2020,Madhya Pradesh,7,7,0,0
10892,25/03/2020,Madhya Pradesh,7,7,0,0
10893,26/03/2020,Madhya Pradesh,15,14,0,1
10894,27/03/2020,Madhya Pradesh,20,19,0,1
10895,28/03/2020,Madhya Pradesh,30,28,0,2
10896,29/03/2020,Madhya Pradesh,30,28,0,2
10897,30/03/2020,Madhya Pradesh,33,31,0,2
10898,31/03/2020,Madhya Pradesh,47,44,0,3
10899,01/04/2020,Madhya Pradesh,47,44,0,3
10900,02/04/2020,Madhya Pradesh,99,93,0,6
10901,03/04/2020,Madhya Pradesh,99,93,0,6
10902,04/04/2020,Madhya Pradesh,104,98,0,6
10903,05/04/2020,Madhya Pradesh,104,98,0,6
10904,06/04/2020,Madhya Pradesh,165,156,0,9
10905,07/04/2020,Madhya Pradesh,165,156,0,9
10906,08/04/2020,Madhya Pradesh,229,216,0,13
10907,09/04/2020,Madhya Pradesh,229,216,0,13
10908,10/04/2020,Madhya Pradesh,259,243,0,16
10909,11/04/2020,Madhya Pradesh,435,402,0,33
10910,12/04/2020,Madhya Pradesh,532,496,0,36
10911,13/04/2020,Madhya Pradesh,564,528,0,36
10912,14/04/2020,Madhya Pradesh,604,517,44,43
10913,15/04/2020,Madhya Pradesh,730,629,51,50
10914,16/04/2020,Madhya Pradesh,987,870,64,53
10915,17/04/2020,Madhya Pradesh,1120,1003,64,53
10916,18/04/2020,Madhya Pradesh,1310,1172,69,69
10917,19/04/2020,Madhya Pradesh,1407,1210,127,70
10918,20/04/2020,Madhya Pradesh,1407,1210,127,70
10919,21/04/2020,Madhya Pradesh,1485,1284,127,74
10920,22/04/2020,Madhya Pradesh,1552,1328,148,76
10921,23/04/2020,Madhya Pradesh,1592,1364,148,80
10922,24/04/2020,Madhya Pradesh,1699,1413,203,83
10923,25/04/2020,Madhya Pradesh,1852,1550,210,92
10924,26/04/2020,Madhya Pradesh,2096,1787,210,99
10925,27/04/2020,Madhya Pradesh,2096,1691,302,103
10926,28/04/2020,Madhya Pradesh,2168,1756,302,110
10927,29/04/2020,Madhya Pradesh,2387,1890,377,120
10928,30/04/2020,Madhya Pradesh,2561,1971,461,129
10929,01/05/2020,Madhya Pradesh,2660,2041,482,137
10930,02/05/2020,Madhya Pradesh,2719,2050,524,145
10931,03/05/2020,Madhya Pradesh,2846,2071,624,151
10932,04/05/2020,Madhya Pradesh,2846,1892,798,156
10933,05/05/2020,Madhya Pradesh,2942,1979,798,165
10934,06/05/2020,Madhya Pradesh,3049,1873,1000,176
10935,07/05/2020,Madhya Pradesh,3138,1854,1099,185
10936,08/05/2020,Madhya Pradesh,3252,1828,1231,193
10937,09/05/2020,Madhya Pradesh,3341,1792,1349,200
10938,10/05/2020,Madhya Pradesh,3614,1723,1676,215
10939,11/05/2020,Madhya Pradesh,3614,1723,1676,215
10940,12/05/2020,Madhya Pradesh,3785,1817,1747,221
10941,13/05/2020,Madhya Pradesh,3986,1901,1860,225
10942,14/05/2020,Madhya Pradesh,4173,1937,2004,232
10943,15/05/2020,Madhya Pradesh,4426,2018,2171,237
10944,16/05/2020,Madhya Pradesh,4595,2073,2283,239
10945,17/05/2020,Madhya Pradesh,4789,2231,2315,243
10946,18/05/2020,Madhya Pradesh,4977,2326,2403,248
10947,19/05/2020,Madhya Pradesh,5236,2549,2435,252
10948,20/05/2020,Madhya Pradesh,5465,2577,2630,258
10949,21/05/2020,Madhya Pradesh,5735,2735,2733,267
10950,22/05/2020,Madhya Pradesh,5981,2868,2843,270
10951,23/05/2020,Madhya Pradesh,6170,2809,3089,272
10952,24/05/2020,Madhya Pradesh,6371,2823,3267,281
10953,25/05/2020,Madhya Pradesh,6665,2967,3408,290
10954,26/05/2020,Madhya Pradesh,6859,2988,3571,300
10955,27/05/2020,Madhya Pradesh,7024,3030,3689,305
10956,28/05/2020,Madhya Pradesh,7261,3021,3927,313
10957,29/05/2020,Madhya Pradesh,7453,3082,4050,321
10958,30/05/2020,Madhya Pradesh,7645,3042,4269,334
10959,31/05/2020,Madhya Pradesh,7891,3104,4444,343
10960,01/06/2020,Madhya Pradesh,8089,2897,4842,350
10961,02/06/2020,Madhya Pradesh,8283,2922,5003,358
10962,03/06/2020,Madhya Pradesh,8420,2835,5221,364
10963,04/06/2020,Madhya Pradesh,8588,2772,5445,371
10964,05/06/2020,Madhya Pradesh,8762,2748,5637,377
10965,06/06/2020,Madhya Pradesh,8996,2734,5878,384
10966,07/06/2020,Madhya Pradesh,9228,2721,6108,399
10967,08/06/2020,Madhya Pradesh,9401,2658,6331,412
10968,09/06/2020,Madhya Pradesh,9638,2688,6536,414
10969,10/06/2020,Madhya Pradesh,9849,2700,6729,420
10970,11/06/2020,Madhya Pradesh,10049,2730,6892,427
10971,12/06/2020,Madhya Pradesh,10241,2768,7042,431
10972,13/06/2020,Madhya Pradesh,10443,2802,7201,440
10973,14/06/2020,Madhya Pradesh,10641,2817,7377,447
10974,15/06/2020,Madhya Pradesh,10802,2666,7677,459
10975,16/06/2020,Madhya Pradesh,10935,2567,7903,465
10976,17/06/2020,Madhya Pradesh,11083,2455,8152,476
10977,18/06/2020,Madhya Pradesh,11244,2374,8388,482
10978,19/06/2020,Madhya Pradesh,11426,2308,8632,486
10979,20/06/2020,Madhya Pradesh,11582,2339,8748,495
10980,21/06/2020,Madhya Pradesh,11724,2343,8880,501
10981,22/06/2020,Madhya Pradesh,11903,2373,9015,515
10982,23/06/2020,Madhya Pradesh,12078,2342,9215,521
10983,24/06/2020,Madhya Pradesh,12261,2401,9335,525
10984,25/06/2020,Madhya Pradesh,12448,2441,9473,534
10985,26/06/2020,Madhya Pradesh,12596,2435,9619,542
10986,27/06/2020,Madhya Pradesh,12798,2448,9804,546
10987,28/06/2020,Madhya Pradesh,12965,2444,9971,550
10988,29/06/2020,Madhya Pradesh,13186,2545,10084,557
10989,30/06/2020,Madhya Pradesh,13370,2607,10199,564
10990,01/07/2020,Madhya Pradesh,13593,2626,10395,572
10991,02/07/2020,Madhya Pradesh,13861,2625,10655,581
10992,03/07/2020,Madhya Pradesh,14106,2702,10815,589
10993,04/07/2020,Madhya Pradesh,14297,2655,11049,593
10994,05/07/2020,Madhya Pradesh,14604,2772,11234,598
10995,06/07/2020,Madhya Pradesh,14930,2911,11411,608
10996,07/07/2020,Madhya Pradesh,15284,3088,11579,617
10997,08/07/2020,Madhya Pradesh,15627,3237,11768,622
10998,09/07/2020,Madhya Pradesh,16036,3420,11987,629
10999,10/07/2020,Madhya Pradesh,16341,3475,12232,634
11000,11/07/2020,Madhya Pradesh,16657,3538,12481,638
11001,12/07/2020,Madhya Pradesh,17201,3878,12679,644
11002,13/07/2020,Madhya Pradesh,17632,4103,12876,653
11003,14/07/2020,Madhya Pradesh,18207,4336,13208,663
11004,15/07/2020,Madhya Pradesh,19005,4757,13575,673
11005,16/07/2020,Madhya Pradesh,19643,5053,13908,682
11006,17/07/2020,Madhya Pradesh,20378,5562,14127,689
11007,18/07/2020,Madhya Pradesh,21081,5870,14514,697
11008,19/07/2020,Madhya Pradesh,21763,6193,14864,706
11009,20/07/2020,Madhya Pradesh,22600,6568,15311,721
11010,21/07/2020,Madhya Pradesh,23310,6888,15684,738
11011,22/07/2020,Madhya Pradesh,24095,7082,16257,756
11012,23/07/2020,Madhya Pradesh,24842,7236,16836,770
11013,24/07/2020,Madhya Pradesh,25474,7335,17359,780
11014,25/07/2020,Madhya Pradesh,26210,7553,17866,791
11015,26/07/2020,Madhya Pradesh,26926,7639,18488,799
11016,27/07/2020,Madhya Pradesh,27800,7857,19132,811
11017,28/07/2020,Madhya Pradesh,28589,7978,19791,820
11018,29/07/2020,Madhya Pradesh,29217,8044,20343,830
11019,30/07/2020,Madhya Pradesh,30134,8357,20934,843
11020,31/07/2020,Madhya Pradesh,30968,8454,21657,857
11021,01/08/2020,Madhya Pradesh,31806,8668,22271,867
11022,02/08/2020,Madhya Pradesh,32614,8769,22969,876
11023,03/08/2020,Madhya Pradesh,33535,9099,23550,886
11024,04/08/2020,Madhya Pradesh,34285,9286,24099,900
11025,05/08/2020,Madhya Pradesh,35082,8756,25414,912
11026,06/08/2020,Madhya Pradesh,35734,8741,26064,929
11027,07/08/2020,Madhya Pradesh,36564,8716,26902,946
11028,08/08/2020,Madhya Pradesh,37298,8715,27621,962
11029,09/08/2020,Madhya Pradesh,38157,8827,28353,977
11030,10/08/2020,Madhya Pradesh,39025,9009,29020,996
11031,11/08/2020,Madhya Pradesh,39891,9202,29674,1015
11032,12/08/2020,Madhya Pradesh,40734,9105,30596,1033
11033,13/08/2020,Madhya Pradesh,41604,9317,31239,1048
11034,14/08/2020,Madhya Pradesh,42618,9718,31835,1065
11035,15/08/2020,Madhya Pradesh,43414,9928,32405,1081
11036,16/08/2020,Madhya Pradesh,44433,9986,33353,1094
11037,17/08/2020,Madhya Pradesh,45455,10312,34038,1105
11038,18/08/2020,Madhya Pradesh,46385,10232,35025,1128
11039,19/08/2020,Madhya Pradesh,47375,10521,35713,1141
11040,20/08/2020,Madhya Pradesh,48351,10717,36475,1159
11041,21/08/2020,Madhya Pradesh,49493,10782,37540,1171
11042,22/08/2020,Madhya Pradesh,50640,10928,38527,1185
11043,23/08/2020,Madhya Pradesh,51866,11261,39399,1206
11044,24/08/2020,Madhya Pradesh,53129,11510,40390,1229
11045,25/08/2020,Madhya Pradesh,54421,11944,41231,1246
11046,26/08/2020,Madhya Pradesh,55800,12225,42310,1265
11047,27/08/2020,Madhya Pradesh,56864,12336,43246,1282
11048,28/08/2020,Madhya Pradesh,58181,12422,44453,1306
11049,29/08/2020,Madhya Pradesh,59433,12714,45396,1323
11050,30/08/2020,Madhya Pradesh,60875,13117,46413,1345
11051,31/08/2020,Madhya Pradesh,62433,13592,47467,1374
11052,01/09/2020,Madhya Pradesh,63965,13914,48657,1394
11053,02/09/2020,Madhya Pradesh,65490,14072,49992,1426
11054,03/09/2020,Madhya Pradesh,66914,14337,51124,1453
11055,04/09/2020,Madhya Pradesh,68586,14888,52215,1483
11056,05/09/2020,Madhya Pradesh,70244,15474,53257,1513
11057,06/09/2020,Madhya Pradesh,71880,15688,54649,1543
11058,07/09/2020,Madhya Pradesh,73574,16115,55887,1572
11059,08/09/2020,Madhya Pradesh,75459,16961,56909,1589
11060,09/09/2020,Madhya Pradesh,77323,17205,58509,1609
11061,10/09/2020,Madhya Pradesh,79192,17702,59850,1640
11062,11/09/2020,Madhya Pradesh,81379,18433,61285,1661
11063,12/09/2020,Madhya Pradesh,83619,18992,62936,1691
11064,13/09/2020,Madhya Pradesh,85966,19840,64398,1728
11065,14/09/2020,Madhya Pradesh,88247,20487,65998,1762
11066,15/09/2020,Madhya Pradesh,90730,21228,67711,1791
11067,16/09/2020,Madhya Pradesh,93053,21620,69613,1820
11068,17/09/2020,Madhya Pradesh,95515,22136,71535,1844
11069,18/09/2020,Madhya Pradesh,97906,21631,74398,1877
11070,19/09/2020,Madhya Pradesh,100458,21605,76952,1901
11071,20/09/2020,Madhya Pradesh,103065,21964,79158,1943
11072,21/09/2020,Madhya Pradesh,105644,22300,81374,1970
11073,22/09/2020,Madhya Pradesh,108167,22542,83618,2007
11074,23/09/2020,Madhya Pradesh,110711,22646,86030,2035
11075,24/09/2020,Madhya Pradesh,113057,22812,88168,2077
11076,25/09/2020,Madhya Pradesh,115361,22744,90495,2122
11077,26/09/2020,Madhya Pradesh,117588,22198,93238,2152
11078,27/09/2020,Madhya Pradesh,119899,22228,95490,2181
11079,28/09/2020,Madhya Pradesh,122209,22431,97571,2207
11080,29/09/2020,Madhya Pradesh,124166,21912,100012,2242
11081,30/09/2020,Madhya Pradesh,126043,21317,102445,2281
11082,01/10/2020,Madhya Pradesh,128047,20997,104734,2316
11083,02/10/2020,Madhya Pradesh,130088,20473,107279,2336
11084,03/10/2020,Madhya Pradesh,132107,20124,109611,2372
11085,04/10/2020,Madhya Pradesh,133918,19807,111712,2399
11086,05/10/2020,Madhya Pradesh,135638,19372,113832,2434
11087,06/10/2020,Madhya Pradesh,137098,18757,115878,2463
11088,07/10/2020,Madhya Pradesh,138668,18141,118039,2488
11089,08/10/2020,Madhya Pradesh,140307,17522,120267,2518
11090,09/10/2020,Madhya Pradesh,142022,16788,122687,2547
11091,10/10/2020,Madhya Pradesh,143629,16168,124887,2574
11092,11/10/2020,Madhya Pradesh,145245,15612,127034,2599
11093,12/10/2020,Madhya Pradesh,146820,15177,129019,2624
11094,13/10/2020,Madhya Pradesh,148298,14932,130721,2645
11095,14/10/2020,Madhya Pradesh,149761,14661,132429,2671
11096,15/10/2020,Madhya Pradesh,155276,14432,138158,2686
11097,16/10/2020,Madhya Pradesh,156584,14157,139717,2710
11098,17/10/2020,Madhya Pradesh,157936,13928,141273,2735
11099,18/10/2020,Madhya Pradesh,159158,13698,142707,2753
11100,19/10/2020,Madhya Pradesh,160188,13281,144134,2773
11101,20/10/2020,Madhya Pradesh,161203,12996,145421,2786
11102,21/10/2020,Madhya Pradesh,162178,12507,146860,2811
11103,22/10/2020,Madhya Pradesh,163296,12386,148082,2828
11104,23/10/2020,Madhya Pradesh,164341,12146,149353,2842
11105,24/10/2020,Madhya Pradesh,165294,11761,150678,2855
11106,25/10/2020,Madhya Pradesh,166298,11477,151946,2875
11107,26/10/2020,Madhya Pradesh,167249,11237,153127,2885
11108,27/10/2020,Madhya Pradesh,167969,10857,154222,2890
11109,28/10/2020,Madhya Pradesh,168483,10353,155232,2898
11110,29/10/2020,Madhya Pradesh,169271,10094,156264,2913
11111,30/10/2020,Madhya Pradesh,169999,9689,157381,2929
11112,31/10/2020,Madhya Pradesh,170690,9294,158455,2941
11113,01/11/2020,Madhya Pradesh,171359,8929,159479,2951
11114,02/11/2020,Madhya Pradesh,172082,8538,160586,2958
11115,03/11/2020,Madhya Pradesh,172717,8298,161454,2965
11116,04/11/2020,Madhya Pradesh,173384,8044,162366,2974
11117,05/11/2020,Madhya Pradesh,174091,7854,163250,2987
11118,06/11/2020,Madhya Pradesh,174825,7766,164067,2992
11119,07/11/2020,Madhya Pradesh,175603,7676,164923,3004
11120,08/11/2020,Madhya Pradesh,176468,7736,165715,3017
11121,09/11/2020,Madhya Pradesh,177359,7928,166403,3028
11122,10/11/2020,Madhya Pradesh,178168,8050,167084,3034
11123,11/11/2020,Madhya Pradesh,179068,8149,167877,3042
11124,12/11/2020,Madhya Pradesh,179951,8328,168568,3055
11125,13/11/2020,Madhya Pradesh,180997,8672,169260,3065
11126,14/11/2020,Madhya Pradesh,182045,8876,170093,3076
11127,15/11/2020,Madhya Pradesh,183057,9005,170969,3083
11128,16/11/2020,Madhya Pradesh,183927,9146,171691,3090
11129,17/11/2020,Madhya Pradesh,184524,8996,172436,3092
11130,18/11/2020,Madhya Pradesh,185446,9060,173284,3102
11131,19/11/2020,Madhya Pradesh,186655,9338,174202,3115
11132,20/11/2020,Madhya Pradesh,188018,9800,175089,3129
11133,21/11/2020,Madhya Pradesh,189546,10402,176006,3138
11134,22/11/2020,Madhya Pradesh,191246,11192,176905,3149
11135,23/11/2020,Madhya Pradesh,193044,11765,178117,3162
11136,24/11/2020,Madhya Pradesh,194745,12336,179237,3172
11137,25/11/2020,Madhya Pradesh,196511,12979,180349,3183
11138,26/11/2020,Madhya Pradesh,198284,13742,181345,3197
11139,27/11/2020,Madhya Pradesh,199952,14199,182544,3209
11140,28/11/2020,Madhya Pradesh,201597,14677,183696,3224
11141,29/11/2020,Madhya Pradesh,203231,14981,185013,3237
11142,30/11/2020,Madhya Pradesh,204745,14974,186521,3250
11143,01/12/2020,Madhya Pradesh,206128,14771,188097,3260
11144,02/12/2020,Madhya Pradesh,207485,14435,189780,3270
11145,03/12/2020,Madhya Pradesh,208924,14019,191618,3287
11146,04/12/2020,Madhya Pradesh,210374,13887,193187,3300
11147,05/12/2020,Madhya Pradesh,211698,13641,194743,3314
11148,06/12/2020,Madhya Pradesh,213050,13532,196192,3326
11149,07/12/2020,Madhya Pradesh,214505,13391,197777,3337
11150,08/12/2020,Madhya Pradesh,215957,13443,199167,3347
11151,09/12/2020,Madhya Pradesh,217302,13280,200664,3358
11152,10/12/2020,Madhya Pradesh,218574,13221,201987,3366
11153,11/12/2020,Madhya Pradesh,219893,13226,203294,3373
11154,12/12/2020,Madhya Pradesh,221115,13092,204641,3382
11155,13/12/2020,Madhya Pradesh,222397,12947,206059,3391
11156,14/12/2020,Madhya Pradesh,223578,12837,207337,3404
11157,15/12/2020,Madhya Pradesh,224636,12803,208421,3412
11158,17/12/2020,Madhya Pradesh,226788,12330,211025,3433
11159,18/12/2020,Madhya Pradesh,227949,12156,212351,3442
11160,19/12/2020,Madhya Pradesh,229130,11876,213801,3453
11161,20/12/2020,Madhya Pradesh,230125,11446,215211,3468
11162,21/12/2020,Madhya Pradesh,231284,11318,216485,3481
11163,22/12/2020,Madhya Pradesh,232319,11054,217775,3490
11164,23/12/2020,Madhya Pradesh,233324,10994,218828,3502
11165,24/12/2020,Madhya Pradesh,234331,10766,220051,3514
11166,25/12/2020,Madhya Pradesh,235369,10676,221169,3524
11167,26/12/2020,Madhya Pradesh,236400,10461,222403,3536
11168,27/12/2020,Madhya Pradesh,237406,10329,223532,3545
11169,28/12/2020,Madhya Pradesh,238352,10097,224692,3563
